ID,TEXT,LABEL,CONFIDENCE_SCORE,COMMENT
1,The marathon event attracted runners from 15 countries.,Sports,0.91,
2,The senator addressed the media regarding foreign policy.,Politics,0.89,
3,A new smartphone with foldable display was unveiled.,Technology,0.93,
4,The documentary received critical acclaim at the festival.,Entertainment,0.9,
5,Nutritionists emphasize the importance of balanced diets.,Health,0.88,
6,The board announced scholarships for meritorious students.,Education,0.92,
7,Cryptocurrency prices surged overnight.,Finance,0.94,
8,The hill station experienced heavy snowfall this winter.,Travel,0.87,
9,The boxing federation updated its ranking list.,Sports,0.9,
10,The opposition criticized the new labor reforms.,Politics,0.88,
11,A cybersecurity startup secured Series A funding.,Technology,0.86,Overlap between Technology and Finance (startup funding)
12,The actor’s biopic is set to release this Friday.,Entertainment,0.91,
13,Public health experts warned about air pollution risks.,Health,0.9,
14,The institute launched a new data science course.,Education,0.89,
15,The central bank revised interest rates.,Finance,0.95,
16,The cruise ship resumed operations after renovations.,Travel,0.85,
17,The volleyball team celebrated their championship win.,Sports,0.93,
18,The prime minister met business leaders to boost exports.,Politics,0.84,Overlap between Politics and Finance (economic policy)
19,Researchers introduced a breakthrough battery technology.,Technology,0.92,
20,The music album topped global streaming charts.,Entertainment,0.94,
21,Clinics reported a rise in seasonal allergies.,Health,0.87,
22,The coaching center started hybrid learning programs.,Education,0.83,Could overlap with Technology (hybrid learning)
23,The aviation authority approved new safety measures.,Travel,0.82,
24,The wrestling event drew massive crowds.,Sports,0.88,
25,The governor signed the housing development bill.,Politics,0.91,
26,A fintech company launched instant loan services.,Technology,0.89,Strong overlap with Finance (FinTech domain)
27,The comedian announced a nationwide tour.,Entertainment,0.92,
28,Mental health awareness campaigns gained traction online.,Health,0.93,
29,The research grant will support postgraduate studies.,Education,0.86,
30,Gold prices dipped amid global uncertainty.,Finance,0.94,
31,The desert safari remains a popular tourist attraction.,Travel,0.9,
32,The chess grandmaster won the international title.,Sports,0.91,
33,The cabinet discussed amendments to environmental laws.,Politics,0.88,
34,A robotics competition showcased innovative designs.,Technology,0.92,
35,The reality show finale broke viewership records.,Entertainment,0.9,
36,Doctors advised vaccination before monsoon season.,Health,0.89,
37,The academy introduced AI-based assessment tools.,Education,0.84,Overlap between Education and Technology
38,Stock analysts predict market volatility ahead.,Finance,0.93,
39,The railway ministry launched luxury tourist trains.,Travel,0.87,
40,The swimming championship was held in Delhi.,Sports,0.9,
41,The parliament passed the digital data protection act.,Politics,0.85,Overlap between Politics and Technology
42,A software patch fixed major security vulnerabilities.,Technology,0.94,
43,The director confirmed a sequel to the blockbuster film.,Entertainment,0.93,
44,Fitness experts recommend daily stretching exercises.,Health,0.88,
45,The college hosted an international academic conference.,Education,0.91,
46,The startup raised funds through venture capital firms.,Finance,0.92,
47,The visa process has been simplified for tourists.,Travel,0.89,
48,The national team announced its squad for Olympics.,Sports,0.95,
49,The mayor proposed a new urban development policy.,Politics,0.87,
50,Engineers developed a faster 5G communication system.,Technology,0.93,
51,The film received multiple nominations at awards night.,Entertainment,0.91,
52,Hospitals expanded ICU facilities amid rising cases.,Health,0.9,
53,The university introduced credit-based curriculum reforms.,Education,0.88,
54,The rupee strengthened against major currencies.,Finance,0.92,
55,The beach destination saw record tourist footfall.,Travel,0.86,
56,The cycling race covered over 200 kilometers.,Sports,0.89,
57,Political parties began campaigning for elections.,Politics,0.93,
58,A new cloud computing platform was launched.,Technology,0.94,
59,The actor hosted a charity gala event.,Entertainment,0.87,
